POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LATITUDE,LONGITUDE
415-31100,-,0,Grey,SS,N,N,SFMTA,ON,0,3110,FILLMORE ST,5563000,Area 5,Marina,37.7983891,-122.4356847
327-04140,-,0,Yellow,SS,N,N,SFMTA,ON,0,414,BROADWAY,3149000,Area 3,,37.7982362,-122.4043775
330-09470,-,0,Grey,SS,N,N,SFMTA,ON,0,947,BRANNAN ST,3089000,Area 3,,37.7703294,-122.4064948
663-33220,-,0,Grey,SS,Y,N,SFMTA,ON,0,3322,STEINER ST,12156000,Area 5,Marina,37.8003267,-122.4377652
415-18260,-,0,Grey,SS,Y,N,SFMTA,ON,0,1826,FILLMORE ST,5549000,Area 5,Fillmore,37.7868056,-122.4333487
229-00100,-,0,Grey,SS,N,N,SFMTA,ON,0,10,29TH ST,1628000,Area 3,,37.7440747,-122.4214179
208-05290,-,0,Grey,SS,N,N,SFMTA,ON,0,529,08TH ST,416000,Area 3,,37.7720455,-122.4062315
671-01130,671-01001,13,Grey,MS,Y,N,SFMTA,ON,0,113,SOUTH PARK,12010000,Area 5,South Embarcadero,37.7808761,-122.3947078
223-33390,-,0,Grey,SS,Y,N,SFMTA,ON,0,3339,23RD ST,1266000,Area 5,Mission,37.7536922,-122.4202145
360-03390,-,0,Grey,SS,N,N,SFMTA,ON,0,339,CLEMENT ST,4153000,Area 3,,37.7829312,-122.4631668
214-02030,-,0,Grey,SS,N,N,SFMTA,ON,0,203,14TH ST,582000,Area 3,,37.7683377,-122.4180083
847-05040,-,0,Black,SS,Y,N,PORT,ON,0,504,JEFFERSON ST,7460000,Area 5,Fisherman's Wharf,37.8076356,-122.4209041
350-28350,-,0,Yellow,SS,N,N,SFMTA,ON,0,2835,CALIFORNIA ST,3562000,Area 3,,37.7878386,-122.4415646
701-11220,-,0,Grey,SS,N,N,SFMTA,ON,0,1122,VAN NESS AVE,13153202,Area 3,,37.7863584,-122.4213544
470-11300,-,0,Grey,SS,N,N,SFMTA,ON,0,1130,HOWARD ST,7048000,Area 2,,37.7774776,-122.4101611
703-00190,-,0,Grey,SS,N,N,SFMTA,ON,0,19,VICENTE ST,13235000,Area 3,,37.7395558,-122.4667929
725-00150,-,0,Grey,SS,N,N,SFMTA,ON,0,15,WEST PORTAL AVE,13577101,Area 3,,37.7404647,-122.4660264
616-18230,-,0,Grey,SS,N,N,SFMTA,ON,0,1823,POWELL ST,10698000,Area 3,,37.8017952,-122.4112199
664-16060,-,0,Grey,SS,N,N,SFMTA,ON,0,1606,STOCKTON ST,12214000,Area 3,,37.800688,-122.4091675
419-03100,-,0,Grey,SS,Y,N,SFMTA,ON,0,310,FRANKLIN ST,5802000,Area 5,Civic Center,37.7774107,-122.4213083
563-05140,-,0,Grey,SS,Y,N,SFMTA,ON,0,514,MCALLISTER ST,8895000,Area 5,Civic Center,37.7800653,-122.4210025
691-15180,-,0,Grey,SS,N,N,SFMTA,ON,0,1518,UNION ST,12864000,Area 3,,37.79851547,-122.4247626
444-13300,-,0,Grey,SS,N,N,SFMTA,ON,0,1330,GRANT AVE,6403000,Area 3,,37.7996145,-122.4073242
444-14030,-,0,Yellow,SS,N,N,SFMTA,ON,0,1403,GRANT AVE,6404000,Area 3,,37.7998857,-122.4074848
419-04070,-,0,Grey,SS,Y,N,SFMTA,ON,0,407,FRANKLIN ST,5804000,Area 5,Civic Center,37.7783423,-122.4216746
490-24070,-,0,Grey,SS,N,N,SFMTA,ON,0,2407,IRVING ST,7302000,Area 3,,37.7631982,-122.4838191
614-10040,-,0,Yellow,SS,N,N,SFMTA,ON,0,1004,POST ST,10639000,Area 3,,37.7870776,-122.4184936
666-11580,-,0,Yellow,SS,N,N,SFMTA,ON,0,1158,SUTTER ST,12329000,Area 3,,37.7878356,-122.4199842
612-14120,-,0,Grey,SS,N,N,SFMTA,ON,0,1412,POLK ST,10569000,Area 3,,37.7899833,-122.4204885
462-17250,-,0,Grey,SS,N,N,SFMTA,ON,0,1725,HAIGHT ST,6623000,Area 3,,37.7693611,-122.4515152
614-07020,-,0,Grey,SS,N,N,SFMTA,ON,0,702,POST ST,10635000,Area 3,,37.787715,-122.4134886
564-01010,-,0,Grey,SS,N,N,SFMTA,ON,0,101,MCCOPPIN ST,8917001,Area 3,,37.7715043,-122.422691
700-10010,-,0,Grey,SS,Y,N,SFMTA,ON,0,1001,VALENCIA ST,13069000,Area 5,Mission,37.7568179,-122.4210024
686-06020,-,0,Grey,SS,N,N,SFMTA,ON,0,602,TURK ST,12723000,Area 5,Civic Center,37.782207,-122.4192004
400-08200,-,0,Grey,SS,N,N,SFMTA,ON,0,820,EDDY ST,5066000,Area 5,Civic Center,37.7828432,-122.4216474
444-05270,-,0,Grey,SS,N,N,SFMTA,ON,0,527,GRANT AVE,6391000,Area 5,Downtown,37.7922689,-122.4059428
614-08320,-,0,Grey,SS,N,N,SFMTA,ON,0,832,POST ST,10636000,Area 3,,37.7873853,-122.4160791
413-06070,-,0,Grey,SS,N,N,SFMTA,ON,0,607,FILBERT ST,5503000,Area 3,,37.8012723,-122.4097314
413-06270,-,0,Grey,SS,N,N,SFMTA,ON,0,627,FILBERT ST,5503000,Area 3,,37.8012033,-122.410287
419-07110,-,0,Grey,SS,N,N,SFMTA,ON,0,711,FRANKLIN ST,5808000,Area 5,Civic Center,37.7812153,-122.4222554
205-03470,-,0,Grey,SS,N,N,SFMTA,ON,0,347,05TH ST,301000,Area 5,South Embarcadero,37.7794722,-122.402244
331-06220,-,0,Yellow,SS,Y,N,SFMTA,ON,0,622,BRYANT ST,3285000,Area 5,South Embarcadero,37.7791302,-122.3987736
331-06250,-,0,Grey,SS,Y,N,SFMTA,ON,0,625,BRYANT ST,3285000,Area 5,South Embarcadero,37.7789776,-122.3986408
446-03340,446-03004,34,Grey,MS,Y,N,SFMTA,ON,0,334,GROVE ST,6556000,Area 5,Civic Center,37.7779484,-122.4226524
